"Symbol","Security","Added","Removed"
"MSCI","MSCI",2018-04-04,NA
"NDAQ","Nasdaq, Inc.",2008-10-22,NA
"NTAP","NetApp",1999-06-25,NA
"NFLX","Netflix",2010-12-20,NA
"NEM","Newmont",1969-06-30,NA
"NWSA","News Corp (Class A)",2013-08-01,NA
"NWS","News Corp (Class B)",2015-09-18,NA
"NEE","NextEra Energy",1976-06-30,NA
"NKE","Nike, Inc.",1988-11-30,NA
"NI","NiSource",2000-11-02,NA
"NDSN","Nordson Corporation",2022-02-15,NA
"NSC","Norfolk Southern Railway",1957-03-04,NA
"NTRS","Northern Trust",1998-01-30,NA
"NOC","Northrop Grumman",1957-03-04,NA
"NCLH","Norwegian Cruise Line Holdings",2017-10-13,NA
"NRG","NRG Energy",2010-01-29,NA
"NUE","Nucor",1985-04-30,NA
"NVDA","Nvidia",2001-11-30,NA
"NVR","NVR, Inc.",2019-09-26,NA
"NXPI","NXP Semiconductors",2021-03-22,NA
"ORLY","O'Reilly Auto Parts",2009-03-27,NA
"OXY","Occidental Petroleum",1957-03-04,NA
"ODFL","Old Dominion",2019-12-09,NA
"OMC","Omnicom Group",1997-12-31,NA
"ON","ON Semiconductor",2022-06-21,NA
"OKE","ONEOK",2010-03-15,NA
"ORCL","Oracle Corporation",1989-08-31,NA
"OTIS","Otis Worldwide",2020-04-03,NA
"PCAR","Paccar",1980-12-31,NA
"PKG","Packaging Corporation of America",2017-07-26,NA
"PANW","Palo Alto Networks",2023-06-20,NA
"PARA","Paramount Global",1994-09-30,NA
"PH","Parker Hannifin",1985-11-30,NA
"PAYX","Paychex",1998-10-01,NA
"PAYC","Paycom",2020-01-28,NA
"PYPL","PayPal",2015-07-20,NA
"PNR","Pentair",2012-10-01,NA
"PEP","PepsiCo",1957-03-04,NA
"PFE","Pfizer",1957-03-04,NA
"PCG","PG&E Corporation",2022-10-03,NA
"PM","Philip Morris International",2008-03-31,NA
"PSX","Phillips 66",2012-05-01,NA
"PNW","Pinnacle West",1999-10-04,NA
"PXD","Pioneer Natural Resources",2008-09-24,NA
"PNC","PNC Financial Services",1988-04-30,NA
"POOL","Pool Corporation",2020-10-07,NA
"PPG","PPG Industries",1957-03-04,NA
"PPL","PPL Corporation",2001-10-01,NA
"PFG","Principal Financial Group",2002-07-22,NA
"PG","Procter & Gamble",1957-03-04,NA
"PGR","Progressive Corporation",1997-08-04,NA
"PLD","Prologis",2003-07-17,NA
"PRU","Prudential Financial",2002-07-22,NA
"PEG","Public Service Enterprise Group",1957-03-04,NA
"PTC","PTC",2021-04-20,NA
"PSA","Public Storage",2005-08-19,NA
"PHM","PulteGroup",1984-04-30,NA
"QRVO","Qorvo",2015-06-11,NA
"PWR","Quanta Services",2009-07-01,NA
"QCOM","Qualcomm",1999-07-22,NA
"DGX","Quest Diagnostics",2002-12-12,NA
"RL","Ralph Lauren Corporation",2007-02-02,NA
"RJF","Raymond James",2017-03-20,NA
"RTX","RTX Corporation",1957-03-04,NA
"O","Realty Income",2015-04-07,NA
"REG","Regency Centers",2017-03-02,NA
"REGN","Regeneron",2013-05-01,NA
"RF","Regions Financial Corporation",1998-08-28,NA
"RSG","Republic Services",2008-12-05,NA
"RMD","ResMed",2017-07-26,NA
"RVTY","Revvity",1985-05-31,NA
"RHI","Robert Half",2000-12-05,NA
"ROK","Rockwell Automation",2000-03-12,NA
"ROL","Rollins, Inc.",2018-10-01,NA
"ROP","Roper Technologies",2009-12-23,NA
"ROST","Ross Stores",2009-12-21,NA
"RCL","Royal Caribbean Group",2014-12-05,NA
